,date_id,yardline_100,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,qtr,down,goal_to_go,ydstogo,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_scramble,air_yards,yards_after_catch,posteam_timeouts_remaining,posteam_score,defteam_score,score_differential,fourth_down_converted,fourth_down_failed,rush_attempt,pass_attempt,temp,humd,wspd,cond,rain,snow,run_location_left,run_location_middle,run_location_right,run_gap_end,run_gap_guard,run_gap_tackle,pass_location_left,pass_location_middle,pass_location_right,pass_length_deep,pass_length_short
61,2009-09-20BUF,6.0,332.0,332.0,332.0,4,4.0,1.0,6,pass,6.0,1,0,1.0,0,4.0,2.0,1.0,14.0,29.0,-15.0,1.0,0.0,0.0,1.0,74.0,47.0,4.0,Sunny,0,0,0,0,0,0,0,0,0,1,0,0,1
62,2009-09-20BUF,53.0,66.0,66.0,66.0,4,4.0,0.0,6,pass,11.0,1,0,1.0,0,7.0,4.0,1.0,20.0,32.0,-12.0,1.0,0.0,0.0,1.0,74.0,47.0,4.0,Sunny,0,0,0,0,0,0,0,0,1,0,0,0,1
63,2009-09-20SD,34.0,38.0,38.0,1838.0,2,4.0,0.0,2,pass,9.0,0,0,1.0,0,6.0,3.0,0.0,13.0,21.0,-8.0,1.0,0.0,0.0,1.0,83.0,50.0,8.0,Sunny,0,0,0,0,0,0,0,0,0,1,0,0,1
64,2009-09-20SD,15.0,37.0,37.0,37.0,4,4.0,0.0,2,run,-5.0,0,0,0.0,0,,,1.0,26.0,31.0,-5.0,0.0,1.0,1.0,0.0,83.0,50.0,8.0,Sunny,0,0,0,1,0,0,0,0,0,0,0,0,0
65,2009-09-20DEN,32.0,113.0,113.0,113.0,4,4.0,0.0,3,run,0.0,0,0,0.0,0,,,2.0,27.0,6.0,21.0,0.0,1.0,1.0,0.0,82.0,20.0,9.0,Partly Cloudy,0,0,1,0,0,1,0,0,0,0,0,0,0
66,2009-09-20CHI,1.0,302.0,1202.0,3002.0,1,4.0,1.0,1,pass,1.0,0,0,1.0,0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,70.0,63.0,13.0,Chance Rain,0,0,0,0,0,0,0,0,0,0,1,0,1
67,2009-09-21MIA,42.0,22.0,22.0,22.0,4,4.0,0.0,10,pass,12.0,1,0,1.0,0,12.0,0.0,0.0,23.0,27.0,-4.0,1.0,0.0,0.0,1.0,84.0,67.0,10.0,Cloudy,0,0,0,0,0,0,0,0,0,1,0,0,1
68,2009-09-27BAL,9.0,645.0,1545.0,3345.0,1,4.0,0.0,1,run,2.0,0,1,0.0,0,,,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,72.0,96.0,6.0,Partly Sunny,0,0,0,1,0,0,0,0,0,0,0,0,0
69,2009-09-27NYJ,33.0,291.0,291.0,2091.0,2,4.0,0.0,7,pass,0.0,1,0,1.0,0,8.0,,3.0,7.0,14.0,-7.0,0.0,1.0,0.0,1.0,66.0,90.0,8.0,Rain,1,0,0,0,0,0,0,0,0,0,1,0,1
70,2009-09-27NYJ,67.0,114.0,114.0,114.0,4,4.0,0.0,23,pass,0.0,1,0,1.0,0,37.0,,0.0,17.0,24.0,-7.0,0.0,1.0,0.0,1.0,66.0,90.0,8.0,Rain,1,0,0,0,0,0,0,0,0,0,1,1,0
71,2009-09-27DET,1.0,434.0,1334.0,3134.0,1,4.0,1.0,1,run,0.0,0,0,0.0,0,,,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,68.0,,,Dome,0,0,1,0,0,1,0,0,0,0,0,0,0
72,2009-09-27DET,36.0,8.0,8.0,8.0,4,4.0,0.0,10,pass,13.0,0,0,1.0,0,8.0,-2.0,0.0,14.0,19.0,-5.0,1.0,0.0,0.0,1.0,68.0,,,Dome,0,0,0,0,0,0,0,0,0,1,0,0,1
73,2009-09-27HOU,16.0,67.0,67.0,1867.0,2,4.0,0.0,1,run,11.0,0,0,0.0,0,,,3.0,14.0,17.0,-3.0,1.0,0.0,1.0,0.0,85.0,68.0,5.0,Sunny,0,0,1,0,0,1,0,0,0,0,0,0,0
74,2009-09-27HOU,12.0,900.0,900.0,900.0,4,4.0,0.0,1,run,4.0,0,0,0.0,0,,,2.0,24.0,24.0,0.0,1.0,0.0,1.0,0.0,85.0,68.0,5.0,Sunny,0,0,1,0,0,1,0,0,0,0,0,0,0
75,2009-09-27MIN,36.0,590.0,590.0,2390.0,2,4.0,0.0,1,pass,25.0,1,0,1.0,0,11.0,14.0,2.0,0.0,10.0,-10.0,1.0,0.0,0.0,1.0,68.0,,,Dome,0,0,0,0,0,0,0,0,0,0,1,0,1
76,2009-09-27MIN,47.0,115.0,115.0,115.0,4,4.0,0.0,5,pass,0.0,1,0,1.0,0,3.0,,3.0,20.0,23.0,-3.0,0.0,1.0,0.0,1.0,68.0,,,Dome,0,0,0,0,0,0,0,0,0,0,1,0,1
77,2009-09-27NE,34.0,626.0,626.0,2426.0,2,4.0,0.0,3,pass,7.0,0,0,1.0,0,7.0,0.0,2.0,3.0,10.0,-7.0,1.0,0.0,0.0,1.0,62.0,96.0,0.0,Rain,1,0,0,0,0,0,0,0,0,0,1,0,1
78,2009-09-27NE,76.0,319.0,1219.0,1219.0,3,4.0,0.0,1,run,2.0,0,0,0.0,0,,,3.0,16.0,10.0,6.0,1.0,0.0,1.0,0.0,62.0,96.0,0.0,Rain,1,0,0,1,0,0,0,0,0,0,0,0,0
79,2009-09-27NE,37.0,55.0,955.0,955.0,3,4.0,0.0,3,pass,21.0,1,0,1.0,0,21.0,0.0,3.0,16.0,10.0,6.0,1.0,0.0,0.0,1.0,62.0,96.0,0.0,Rain,1,0,0,0,0,0,0,0,0,0,1,1,0
80,2009-09-27NE,33.0,120.0,120.0,120.0,4,4.0,0.0,1,pass,8.0,0,0,1.0,0,1.0,7.0,1.0,26.0,10.0,16.0,1.0,0.0,0.0,1.0,62.0,96.0,0.0,Rain,1,0,0,0,0,0,0,0,1,0,0,0,1
81,2009-09-27TB,28.0,445.0,445.0,445.0,4,4.0,0.0,3,pass,8.0,1,0,1.0,0,4.0,4.0,1.0,0.0,24.0,-24.0,1.0,0.0,0.0,1.0,88.0,75.0,12.0,Cloudy,0,0,0,0,0,0,0,0,1,0,0,0,1
82,2009-09-27TB,5.0,360.0,360.0,360.0,4,4.0,1.0,5,pass,0.0,1,0,1.0,0,5.0,,1.0,0.0,24.0,-24.0,0.0,1.0,0.0,1.0,88.0,75.0,12.0,Cloudy,0,0,0,0,0,0,0,0,1,0,0,0,1
83,2009-09-27PHI,44.0,718.0,718.0,2518.0,2,4.0,0.0,1,pass,0.0,1,0,1.0,0,4.0,,2.0,14.0,0.0,14.0,0.0,1.0,0.0,1.0,69.0,84.0,6.0,Partly Cloudy,0,0,0,0,0,0,0,0,0,0,1,0,1
84,2009-09-27PHI,60.0,403.0,1303.0,1303.0,3,4.0,0.0,2,run,4.0,0,0,0.0,0,,,3.0,7.0,27.0,-20.0,1.0,0.0,1.0,0.0,69.0,84.0,6.0,Partly Cloudy,0,0,1,0,0,1,0,0,0,0,0,0,0
85,2009-09-27PHI,17.0,147.0,147.0,147.0,4,4.0,0.0,7,pass,8.0,1,0,1.0,0,7.0,1.0,2.0,7.0,34.0,-27.0,1.0,0.0,0.0,1.0,69.0,84.0,6.0,Partly Cloudy,0,0,0,0,0,0,0,0,0,1,0,0,1
86,2009-09-27STL,44.0,625.0,1525.0,1525.0,3,4.0,0.0,1,run,2.0,0,0,0.0,0,,,3.0,14.0,23.0,-9.0,1.0,0.0,1.0,0.0,,,,Dome,0,0,0,1,0,0,0,0,0,0,0,0,0
87,2009-09-27STL,31.0,153.0,153.0,153.0,4,4.0,0.0,5,pass,0.0,1,0,1.0,0,5.0,,3.0,17.0,36.0,-19.0,0.0,1.0,0.0,1.0,,,,Dome,0,0,0,0,0,0,0,0,1,0,0,0,1
88,2009-09-27BUF,28.0,202.0,1102.0,2902.0,1,4.0,0.0,2,pass,0.0,0,0,1.0,0,-4.0,4.0,3.0,7.0,0.0,7.0,0.0,1.0,0.0,1.0,64.0,85.0,9.0,Cloudy,0,0,0,0,0,0,0,0,0,0,1,0,1
89,2009-09-27BUF,25.0,896.0,896.0,2696.0,2,4.0,0.0,6,pass,25.0,0,0,1.0,0,19.0,6.0,3.0,0.0,7.0,-7.0,1.0,0.0,0.0,1.0,64.0,85.0,9.0,Cloudy,0,0,0,0,0,0,0,0,1,0,0,1,0
90,2009-09-27BUF,55.0,559.0,1459.0,1459.0,3,4.0,0.0,1,run,2.0,0,0,0.0,0,,,3.0,10.0,7.0,3.0,1.0,0.0,1.0,0.0,64.0,85.0,9.0,Cloudy,0,0,0,0,1,1,0,0,0,0,0,0,0
91,2009-09-27BUF,86.0,145.0,145.0,145.0,4,4.0,0.0,23,pass,12.0,1,1,1.0,0,1.0,11.0,2.0,7.0,20.0,-13.0,0.0,1.0,0.0,1.0,64.0,85.0,9.0,Cloudy,0,0,0,0,0,0,0,0,1,0,0,0,1
92,2009-09-27SEA,1.0,120.0,120.0,1920.0,2,4.0,1.0,1,pass,1.0,0,0,1.0,0,1.0,0.0,2.0,0.0,13.0,-13.0,1.0,0.0,0.0,1.0,60.0,61.0,7.0,Sunny,0,0,0,0,0,0,0,0,0,0,1,0,1
93,2009-09-27SEA,43.0,52.0,52.0,52.0,4,4.0,0.0,1,pass,6.0,0,0,1.0,0,4.0,2.0,2.0,19.0,25.0,-6.0,1.0,0.0,0.0,1.0,60.0,61.0,7.0,Sunny,0,0,0,0,0,0,0,0,0,0,1,0,1
